"GroupId","Length","Hash","Path","LastWriteTimeUtc"
"_","1050684","B7B839FA01FF33D547195FC79D00F76D16B5FC70A5D0A12EEB8AF46FB3B01418","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\03\20130316_183420.jpg","29/01/2024 03:47:59"
"_","1057809","359445B037D2805CF452855EA150416FDAC99EF81D2C4B3C948799B58AD8D124","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130322_210451.jpg","29/01/2024 02:54:28"
"_","1057809","359445B037D2805CF452855EA150416FDAC99EF81D2C4B3C948799B58AD8D124","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\03\20130322_210451.jpg","29/01/2024 03:47:59"
"_","1029199","2A366DE41B29B3A3F01A2C0EEDA73A51E970F09835008746FCD65AE598011A78","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130325_130541.jpg","29/01/2024 02:54:28"
"_","1029199","2A366DE41B29B3A3F01A2C0EEDA73A51E970F09835008746FCD65AE598011A78","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\03\20130325_130541.jpg","29/01/2024 03:47:59"
"_","1013578","F95EB6706FBE6E521EED0B23E9E1B19AEDECDB92AE05F57A1C7D66A32BAF8D82","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130417_225622.jpg","29/01/2024 02:54:28"
"_","1013578","F95EB6706FBE6E521EED0B23E9E1B19AEDECDB92AE05F57A1C7D66A32BAF8D82","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\04\20130417_225622.jpg","29/01/2024 03:47:59"
"_","1057207","324A90F24EB5776D77919376FB680128457C73CA3C1B219332D9C586A4A83E37","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130420_125813.jpg","29/01/2024 02:54:28"
"_","1057207","324A90F24EB5776D77919376FB680128457C73CA3C1B219332D9C586A4A83E37","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\04\20130420_125813.jpg","29/01/2024 03:47:59"
"_","999988","2E8B032EE2463B11FD8FF24DA6B3E7547FF365676E3B409C69EBC24A171C2987","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130420_125817.jpg","29/01/2024 02:54:28"
"_","999988","2E8B032EE2463B11FD8FF24DA6B3E7547FF365676E3B409C69EBC24A171C2987","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\04\20130420_125817.jpg","29/01/2024 03:47:59"
"_","1005899","2E931129E47E7BF9B34661181FBB834DD6B2E76FAFC42D44F5CB19E75EE74AE8","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130420_125847.jpg","29/01/2024 02:54:28"
"_","1005899","2E931129E47E7BF9B34661181FBB834DD6B2E76FAFC42D44F5CB19E75EE74AE8","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\04\20130420_125847.jpg","29/01/2024 03:48:00"
"_","1007803","079806E4F6D905AF5A7EAF66CCD4F3042CB9379129828CAE5DFED315BD43DCFD","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130420_125851.jpg","29/01/2024 02:54:28"
"_","1007803","079806E4F6D905AF5A7EAF66CCD4F3042CB9379129828CAE5DFED315BD43DCFD","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\04\20130420_125851.jpg","29/01/2024 03:48:00"
"_","1010088","C18331B00771840994CDB8DCE8DF746AA960A743E6FD153998FAE0F149331816","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130504_144920.jpg","29/01/2024 02:54:28"
"_","1010088","C18331B00771840994CDB8DCE8DF746AA960A743E6FD153998FAE0F149331816","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\05\20130504_144920.jpg","29/01/2024 03:48:00"
"_","1037715","DC11CE0E5293F7E143C7D7A533BCD7FEC967833ACCECECCD2227929F43C6A303","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130504_144933.jpg","29/01/2024 02:54:28"
"_","1037715","DC11CE0E5293F7E143C7D7A533BCD7FEC967833ACCECECCD2227929F43C6A303","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\05\20130504_144933.jpg","29/01/2024 03:48:00"
"_","1011701","A908009614A0CFB27EE049E97B9B63FC6F51E415BD9EBAADA8DACACFF9A939B5","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130504_144944.jpg","29/01/2024 02:54:28"
"_","1011701","A908009614A0CFB27EE049E97B9B63FC6F51E415BD9EBAADA8DACACFF9A939B5","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\05\20130504_144944.jpg","29/01/2024 03:48:00"
"_","1110574","19F91B0E8A4F7C7CA1A1CBE38174507DBEA4E354EB178F79C261AB38FC173A25","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130504_144949.jpg","29/01/2024 02:54:28"
"_","1110574","19F91B0E8A4F7C7CA1A1CBE38174507DBEA4E354EB178F79C261AB38FC173A25","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\05\20130504_144949.jpg","29/01/2024 03:48:00"
"_","1071238","18930551A031CC77E026E5055C2C8D496B4AE88576EA48CA8C735FAE3B8260A1","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130504_145054.jpg","29/01/2024 02:54:28"
"_","1071238","18930551A031CC77E026E5055C2C8D496B4AE88576EA48CA8C735FAE3B8260A1","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\05\20130504_145054.jpg","29/01/2024 03:48:00"
"_","1085664","7031D883AF3BD4516F6BB734D445472F791FA23E6EE861AE818DA9CC70182B4A","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130504_145103.jpg","29/01/2024 02:54:28"
"_","1085664","7031D883AF3BD4516F6BB734D445472F791FA23E6EE861AE818DA9CC70182B4A","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\05\20130504_145103.jpg","29/01/2024 03:48:00"
"_","1379646","58616B6031E504E2E9B2DB967A2BCB5B41019904188C9DB9598B9B0D44C1E536","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130505_164439.jpg","29/01/2024 02:54:28"
"_","1379646","58616B6031E504E2E9B2DB967A2BCB5B41019904188C9DB9598B9B0D44C1E536","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\05\20130505_164439.jpg","29/01/2024 03:48:00"
"_","1090358","D8241D67EA4ADADCBF76C17F26409C70F513EDAE20B8FA13BF79A08580BCE871","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130505_175259.jpg","29/01/2024 02:54:28"
"_","1090358","D8241D67EA4ADADCBF76C17F26409C70F513EDAE20B8FA13BF79A08580BCE871","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\05\20130505_175259.jpg","29/01/2024 03:48:00"
"_","1057558","D59A406075DD7B2FCCC6D73F221B12D8E3AE44A25D626CDBD5169306F79815C0","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130505_175303.jpg","29/01/2024 02:54:28"
"_","1057558","D59A406075DD7B2FCCC6D73F221B12D8E3AE44A25D626CDBD5169306F79815C0","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\05\20130505_175303.jpg","29/01/2024 03:48:00"
"_","1189513","C250C3187384BECF6F2E4534D0FF80A4F26372BCFC06342E7CE9D1979C85DACC","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130505_180138.jpg","29/01/2024 02:54:28"
"_","1189513","C250C3187384BECF6F2E4534D0FF80A4F26372BCFC06342E7CE9D1979C85DACC","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\05\20130505_180138.jpg","29/01/2024 03:48:00"
"_","1231717","BD410FDB260E766602AC5B9498A2D9BEB2F8BB7FB0BA829EB4D205B3D38F22CF","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130505_180145.jpg","29/01/2024 02:54:28"
"_","1231717","BD410FDB260E766602AC5B9498A2D9BEB2F8BB7FB0BA829EB4D205B3D38F22CF","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\05\20130505_180145.jpg","29/01/2024 03:48:00"
"_","1101857","5081C88504F3F564D913F53505891DC26842BAEB067247D2C7568297FC36DB00","C:\Users\nival\iCloudDrive\JUNIOR\junior\20130525_193041.jpg","29/01/2024 02:54:28"
"_","1101857","5081C88504F3F564D913F53505891DC26842BAEB067247D2C7568297FC36DB00","C:\Users\nival\iCloudDrive\JUNIOR\junior\Google Fotos\2013\05\20130525_193041.jpg","29/01/2024 03:48:00"
